age,educ,race,gender,hhincome,employment,party,opinion_leaders,state,perc_women
4,13,1,1,18,1,7,2,NY,0.211
5,9,1,1,4,5,6,2,NY,0.211
5,10,2,1,16,5,6,3,NY,0.211
6,9,1,1,10,5,5,2,IA,0.233
7,9,1,1,15,5,1,2,IA,0.233
2,12,1,0,12,1,5,2,IA,0.233
5,9,1,0,12,5,5,2,IA,0.233
5,9,1,0,13,6,6,1,IA,0.233
6,13,1,0,15,5,7,2,IA,0.233
3,9,1,1,16,1,4,2,IA,0.233
5,13,1,1,13,5,7,2,IA,0.233
4,10,1,1,12,1,2,1,IA,0.233
6,9,1,0,11,5,1,2,IA,0.233
5,9,1,1,6,6,5,2,IA,0.233
5,10,1,0,10,1,5,2,IA,0.233
5,9,1,1,11,7,7,2,IA,0.233
5,12,1,0,18,1,5,2,IA,0.233
2,13,1,0,16,1,7,2,IA,0.233
5,10,1,0,16,1,5,2,IA,0.233
4,11,1,1,16,1,3,2,IA,0.233
4,13,1,1,16,1,5,2,IA,0.233
3,12,1,1,16,7,3,1,IA,0.233
5,9,1,0,14,1,1,1,GA,0.225
3,13,1,1,19,1,6,2,GA,0.225
2,9,1,1,12,7,6,2,GA,0.225
4,10,1,0,11,2,7,1,GA,0.225
5,9,2,1,6,5,5,2,GA,0.225
5,13,1,0,19,1,3,2,GA,0.225
6,9,1,1,11,5,3,2,GA,0.225
2,9,1,0,8,1,4,2,GA,0.225
3,9,1,0,15,1,2,2,GA,0.225
7,10,1,0,10,5,1,2,GA,0.225
5,12,1,1,17,5,7,2,GA,0.225
3,11,1,0,6,2,7,2,GA,0.225
2,13,2,1,7,1,7,2,GA,0.225
6,9,1,1,16,5,7,3,GA,0.225
4,11,2,1,9,1,5,2,GA,0.225
7,12,1,1,13,5,2,2,GA,0.225
5,9,1,0,3,4,2,1,GA,0.225
5,13,2,1,16,1,7,2,GA,0.225
3,9,1,0,14,1,3,2,GA,0.225
6,9,1,1,4,5,1,2,GA,0.225
4,13,1,1,15,1,1,2,GA,0.225
6,10,1,1,15,1,3,1,GA,0.225
1,9,1,0,3,4,4,2,GA,0.225
7,9,1,1,8,5,3,1,GA,0.225
5,9,1,0,9,6,1,2,GA,0.225
7,10,1,1,13,5,2,2,GA,0.225
7,12,1,0,13,1,1,2,GA,0.225
4,11,1,0,16,1,1,1,GA,0.225
5,12,1,0,18,2,1,3,GA,0.225
5,9,1,0,16,1,1,2,GA,0.225
5,10,1,1,13,2,3,1,GA,0.225
4,9,1,1,16,1,2,2,GA,0.225
2,7,2,0,16,1,7,3,GA,0.225
2,12,1,1,13,7,3,2,GA,0.225
1,11,2,0,9,1,5,2,GA,0.225
2,11,1,1,7,6,7,3,GA,0.225
3,10,2,0,19,2,7,2,GA,0.225
3,10,1,0,15,1,2,2,GA,0.225
1,10,1,1,12,1,2,2,GA,0.225
1,7,2,1,1,7,3,NaN,GA,0.225
5,9,1,1,11,1,2,2,GA,0.225
5,6,1,1,4,1,5,2,GA,0.225
2,11,1,1,13,1,1,2,CO,0.41
3,10,1,0,19,1,5,2,CO,0.41
4,11,1,0,16,1,1,2,CO,0.41
1,10,1,0,9,1,5,2,CO,0.41
6,12,1,1,12,5,1,2,CO,0.41
1,6,4,0,10,4,6,3,CO,0.41
6,11,1,0,13,2,6,2,CO,0.41
4,9,1,1,3,7,3,2,CO,0.41
3,9,1,1,16,1,5,2,CO,0.41
6,10,1,1,12,5,2,2,CO,0.41
2,12,1,1,15,1,1,2,CO,0.41
5,11,1,0,13,5,3,2,CO,0.41
3,12,1,1,16,1,1,1,CO,0.41
7,10,1,0,15,5,1,2,CO,0.41
3,10,1,0,11,4,5,2,CO,0.41
7,9,1,0,12,5,6,2,CO,0.41
6,10,1,1,16,5,5,3,CO,0.41
4,13,1,1,18,1,6,2,CO,0.41
6,14,1,0,17,5,7,2,CO,0.41
4,12,1,1,14,1,7,2,CO,0.41
6,10,1,0,14,5,5,2,CO,0.41
4,10,5,1,7,1,5,2,CO,0.41
3,9,4,1,1,4,6,2,CO,0.41
5,14,1,0,19,1,6,1,CO,0.41
2,11,1,0,16,1,6,1,CO,0.41
4,10,1,1,12,5,1,2,OR,0.3
5,9,5,0,12,1,3,2,OR,0.3
7,12,4,0,12,5,7,2,OR,0.3
6,12,1,0,16,5,6,2,OR,0.3
1,10,1,0,6,1,5,2,OR,0.3
2,10,5,1,12,1,3,2,OR,0.3
2,10,1,1,16,1,3,2,OR,0.3
5,10,1,0,14,1,3,1,OR,0.3
2,12,1,1,13,1,7,2,OR,0.3
3,14,1,0,16,1,5,2,OR,0.3
6,9,5,1,7,5,6,1,OR,0.3
5,9,1,0,8,1,1,1,OR,0.3
3,13,1,1,10,1,7,2,OR,0.3
5,10,1,0,7,1,1,1,OR,0.3
4,9,1,1,12,5,1,2,OR,0.3
4,9,1,0,11,6,7,2,OR,0.3
3,10,1,1,6,7,5,2,OR,0.3
4,10,1,1,2,1,2,2,OR,0.3
3,9,1,1,16,1,6,2,OR,0.3
5,9,1,0,13,1,6,2,OR,0.3
2,9,1,1,10,4,5,2,OR,0.3
4,12,3,0,19,2,7,2,OR,0.3
5,8,1,1,8,1,1,2,OR,0.3
3,9,1,1,4,2,1,2,OR,0.3
1,10,1,0,2,4,3,2,AR,0.17
3,9,1,1,6,1,1,2,AR,0.17
3,7,2,0,4,6,6,2,AR,0.17
2,10,1,0,13,1,4,NaN,AR,0.17
5,10,1,1,10,7,1,2,AR,0.17
7,9,1,0,4,5,7,3,AR,0.17
4,12,2,0,16,1,5,2,AR,0.17
7,10,1,0,13,2,3,2,AR,0.17
1,9,1,1,4,1,5,3,AR,0.17
6,9,1,1,8,1,7,2,AR,0.17
5,12,1,0,17,1,1,1,AR,0.17
6,11,1,1,13,5,7,2,AR,0.17
4,11,2,1,8,1,7,2,AR,0.17
3,5,1,0,15,1,3,2,AR,0.17
3,12,3,1,15,1,3,2,AR,0.17
4,12,1,1,18,1,2,2,AR,0.17
3,12,1,1,17,2,6,3,NV,0.27
3,12,2,1,7,1,5,2,NV,0.27
5,10,1,0,11,1,1,2,NV,0.27
6,12,3,1,14,5,7,1,NV,0.27
2,12,1,1,15,6,1,2,NV,0.27
6,9,1,1,15,5,6,2,NV,0.27
6,9,1,0,9,5,7,2,NV,0.27
4,4,5,0,13,6,6,2,NV,0.27
6,9,1,1,8,5,6,2,NV,0.27
6,14,1,0,6,1,7,3,NV,0.27
5,13,1,1,16,5,3,2,NV,0.27
5,12,1,0,17,1,5,2,NV,0.27
4,12,1,0,17,1,3,2,WA,0.327
2,10,1,0,11,1,5,2,WA,0.327
2,11,3,0,14,1,6,3,WA,0.327
3,13,4,0,13,1,7,2,WA,0.327
3,12,1,1,14,1,5,2,WA,0.327
4,13,1,0,15,1,5,2,WA,0.327
4,13,5,1,12,1,6,2,WA,0.327
5,9,1,1,9,1,4,2,WA,0.327
2,9,1,0,13,4,7,2,WA,0.327
4,13,1,1,16,2,7,3,WA,0.327
4,11,1,1,19,1,3,2,WA,0.327
5,13,1,1,17,2,4,2,WA,0.327
6,9,1,0,12,5,5,1,WA,0.327
5,11,1,1,16,1,6,2,WA,0.327
5,14,1,1,18,1,6,3,WA,0.327
6,12,1,0,12,5,1,2,WA,0.327
7,12,1,1,12,5,3,1,WA,0.327
2,12,1,1,11,1,1,1,WA,0.327
7,9,1,1,4,5,2,2,WA,0.327
6,9,1,1,12,5,2,1,WA,0.327
7,11,5,0,13,5,3,2,WA,0.327
3,5,4,0,12,1,5,2,WA,0.327
6,10,1,0,11,5,7,2,WA,0.327
1,9,1,1,13,7,1,2,WA,0.327
4,10,1,0,4,6,5,2,WA,0.327
6,9,1,0,13,5,2,2,WA,0.327
2,11,1,1,12,3,7,2,WA,0.327
7,10,1,1,6,5,7,2,WA,0.327
5,10,1,0,16,1,3,2,WA,0.327
4,13,4,1,17,1,7,2,WA,0.327
2,12,1,0,15,2,5,3,WA,0.327
2,9,2,1,13,1,7,2,WA,0.327
7,4,1,0,12,5,3,2,WA,0.327
1,10,1,1,16,4,6,2,WA,0.327
5,9,1,0,17,1,3,2,WA,0.327
4,13,1,0,13,1,4,NaN,WA,0.327
2,7,4,0,10,4,5,1,WA,0.327
4,13,1,0,18,1,7,2,WA,0.327
3,9,1,0,15,1,5,2,WA,0.327
2,9,5,1,1,7,6,3,WA,0.327
1,8,1,0,7,7,6,NaN,WA,0.327
4,9,1,0,12,1,6,2,WA,0.327
4,12,1,0,19,1,3,2,WA,0.327
1,9,2,0,7,3,1,1,WA,0.327
6,10,1,0,9,1,3,2,NC,0.218
1,10,1,1,16,1,3,2,NC,0.218
2,12,1,0,16,1,6,2,NC,0.218
3,14,1,0,14,1,5,2,NC,0.218
5,9,1,1,12,4,3,1,NC,0.218
7,13,1,0,17,5,3,2,NC,0.218
1,9,1,0,9,1,3,2,NC,0.218
7,9,1,0,7,6,3,2,NC,0.218
2,10,1,1,5,1,3,2,NC,0.218
6,9,1,1,6,5,2,2,NC,0.218
1,10,1,1,16,1,1,2,NC,0.218
6,12,1,0,9,5,3,2,NC,0.218
3,14,1,0,16,1,1,1,NC,0.218
5,12,1,0,16,1,3,2,NC,0.218
4,11,4,1,11,1,5,2,NC,0.218
2,12,1,1,14,1,7,3,NC,0.218
4,13,3,0,12,1,5,2,NC,0.218
5,10,5,0,15,1,3,2,NC,0.218
6,10,1,0,13,5,1,2,NC,0.218
5,9,1,1,13,1,2,2,NC,0.218
4,12,1,1,14,1,7,3,NC,0.218
3,14,5,0,19,2,3,2,NC,0.218
5,9,1,0,4,6,3,2,NC,0.218
4,14,1,1,18,2,3,2,NC,0.218
3,11,1,0,13,1,3,2,NC,0.218
2,14,1,1,15,1,6,2,NC,0.218
5,9,2,1,4,1,7,2,NC,0.218
5,11,5,0,15,1,1,2,NC,0.218
3,12,1,1,19,1,3,3,NC,0.218
4,6,1,1,2,1,3,2,NC,0.218
5,9,1,1,17,1,2,2,NC,0.218
3,13,2,0,8,2,7,1,NC,0.218
1,7,1,1,1,4,3,2,NC,0.218
3,9,1,0,11,1,2,2,NC,0.218
3,10,2,1,7,1,7,2,NC,0.218
5,10,1,1,16,2,7,3,NC,0.218
2,11,2,0,13,6,7,2,NC,0.218
5,13,4,0,14,1,5,NaN,NC,0.218
3,9,4,0,5,1,6,2,NC,0.218
6,10,1,1,6,5,1,1,NC,0.218
5,9,1,0,13,6,4,1,NC,0.218
5,1,1,0,1,6,3,2,NC,0.218
1,10,1,1,10,4,5,2,NC,0.218
1,10,1,0,17,1,3,2,NC,0.218
2,10,2,1,7,1,7,1,NC,0.218
3,12,2,0,11,1,7,3,NC,0.218
3,9,1,0,7,6,3,2,NC,0.218
5,12,1,0,18,1,7,3,NC,0.218
3,14,1,0,14,1,3,2,NC,0.218
4,4,4,0,11,1,4,NaN,NC,0.218
4,12,2,1,12,1,6,2,NC,0.218
4,10,1,1,11,1,3,2,NC,0.218
6,3,3,1,1,7,7,2,NC,0.218
3,10,2,1,3,7,7,2,NC,0.218
1,10,1,1,8,1,2,1,NC,0.218
5,9,1,0,5,5,4,2,MD,0.303
2,12,1,1,12,1,5,2,MD,0.303
6,14,1,0,17,1,3,1,MD,0.303
1,12,1,0,14,1,4,2,MD,0.303
2,7,1,1,10,7,6,2,MD,0.303
5,13,1,0,19,1,3,2,MD,0.303
5,11,2,1,14,2,6,2,MD,0.303
6,13,1,0,16,5,1,2,MD,0.303
4,9,2,1,8,1,7,1,MD,0.303
3,11,2,1,14,1,6,2,MD,0.303
4,11,1,1,14,7,7,2,MD,0.303
3,13,1,0,19,3,4,2,MD,0.303
2,9,2,0,7,1,5,2,MD,0.303
4,9,1,0,16,1,6,2,MD,0.303
7,10,2,0,15,5,6,2,MD,0.303
2,11,1,0,12,1,1,2,MD,0.303
7,9,1,0,12,5,2,2,MD,0.303
5,8,2,1,1,6,7,3,MD,0.303
7,9,1,1,9,5,5,2,MD,0.303
5,8,2,0,14,5,7,2,MD,0.303
4,9,1,0,10,1,3,2,MD,0.303
2,13,1,1,18,1,6,2,MD,0.303
7,9,5,0,13,5,3,2,MD,0.303
7,14,1,0,18,5,7,2,MD,0.303
3,10,1,1,16,1,6,2,MD,0.303
4,13,1,1,18,1,5,2,MD,0.303
3,13,1,0,17,1,2,1,MD,0.303
7,9,2,1,5,5,7,2,MD,0.303
5,10,1,1,16,1,3,2,MD,0.303
1,9,1,0,17,1,3,2,MD,0.303
5,14,1,1,17,2,7,3,MD,0.303
6,10,1,0,8,1,1,2,SC,0.129
4,10,1,1,11,4,3,2,SC,0.129
4,10,1,1,14,2,1,2,SC,0.129
7,8,2,1,15,5,7,2,SC,0.129
6,7,1,1,13,5,2,1,SC,0.129
5,10,1,1,9,4,5,3,SC,0.129
3,12,1,1,17,7,5,3,SC,0.129
5,12,1,1,12,2,5,2,SC,0.129
6,9,1,0,12,5,2,2,SC,0.129
5,10,1,1,5,1,5,2,SC,0.129
5,12,1,0,19,5,5,2,SC,0.129
1,9,2,1,6,7,7,2,SC,0.129
6,10,1,0,16,5,3,2,SC,0.129
5,8,2,1,8,6,6,1,SC,0.129
4,12,1,1,18,5,5,2,SC,0.129
6,5,2,1,19,2,5,1,SC,0.129
7,9,1,0,9,5,6,2,SC,0.129
5,9,1,0,16,1,2,2,SC,0.129
4,9,1,1,16,7,7,2,SC,0.129
3,9,2,0,5,4,6,3,SC,0.129
6,12,1,0,17,5,3,2,SC,0.129
4,11,1,1,9,1,1,2,SC,0.129
5,12,1,0,7,5,6,1,SC,0.129
6,13,1,0,15,5,5,2,SC,0.129
2,9,1,0,6,4,6,2,SC,0.129
4,9,1,1,16,1,2,2,SC,0.129
6,9,2,0,6,6,7,3,SC,0.129
2,11,4,1,16,1,7,2,SC,0.129
7,10,1,1,13,5,2,2,SC,0.129
2,9,1,0,1,6,5,2,SC,0.129
3,11,1,0,12,1,2,2,SC,0.129
5,9,1,0,10,5,7,2,ID,0.267
4,10,1,1,9,4,6,3,ID,0.267
4,10,1,1,18,1,3,2,ID,0.267
2,11,1,1,12,7,2,2,ID,0.267
6,9,1,0,11,1,1,2,ID,0.267
4,10,1,0,16,1,2,2,ID,0.267
4,10,1,0,13,7,3,2,ID,0.267
3,12,1,1,15,1,1,1,ID,0.267
4,13,1,0,15,1,7,2,ID,0.267
1,12,1,0,16,1,6,2,IN,0.2
1,9,4,0,11,4,4,NaN,IN,0.2
5,9,1,0,12,1,3,NaN,IN,0.2
7,11,1,1,14,5,3,1,IN,0.2
2,12,1,0,9,1,5,2,IN,0.2
1,10,1,0,17,1,3,2,IN,0.2
1,12,1,1,17,1,2,2,IN,0.2
2,11,2,1,13,7,5,2,IN,0.2
2,10,1,1,12,7,1,2,IN,0.2
5,9,1,0,14,1,5,2,IN,0.2
6,9,1,0,10,5,7,2,IN,0.2
3,9,1,1,14,7,3,2,IN,0.2
2,10,1,0,10,1,5,2,IN,0.2
1,9,1,0,9,1,1,2,IN,0.2
5,9,1,0,9,6,1,1,IN,0.2
6,9,1,1,4,5,6,2,IN,0.2
4,9,1,1,14,7,1,2,IN,0.2
6,11,1,1,12,5,5,2,IN,0.2
3,9,1,1,5,1,1,1,IN,0.2
2,12,1,0,16,1,5,3,IN,0.2
7,9,1,0,12,5,5,2,IN,0.2
5,9,1,1,8,1,1,2,IN,0.2
5,13,1,1,18,5,2,2,IN,0.2
4,9,1,0,16,1,6,2,IN,0.2
5,9,1,0,7,6,7,2,IN,0.2
3,12,1,0,12,1,3,1,IN,0.2
4,10,2,1,15,2,6,2,IN,0.2
3,10,1,0,16,1,3,2,IN,0.2
5,10,1,1,14,2,2,2,IN,0.2
6,5,3,1,11,5,5,2,IN,0.2
5,12,1,1,13,1,5,2,IN,0.2
3,12,1,1,16,2,1,2,IN,0.2
5,9,1,1,6,6,3,2,IN,0.2
5,9,1,0,11,1,1,2,IN,0.2
4,13,1,0,16,1,3,2,IN,0.2
6,9,1,1,10,1,5,1,IN,0.2
2,11,1,0,13,1,5,2,IN,0.2
5,12,1,1,16,1,6,2,IN,0.2
6,9,1,1,1,4,5,2,IN,0.2
4,13,1,1,16,7,1,2,IN,0.2
1,1,4,1,3,3,3,1,IN,0.2
2,13,1,1,15,7,6,2,KS,0.248
5,11,5,0,16,1,3,2,KS,0.248
1,7,4,1,17,1,6,1,KS,0.248
1,12,1,0,16,1,2,2,KS,0.248
1,9,2,0,5,7,6,2,KS,0.248
6,13,1,1,12,2,5,2,KS,0.248
4,12,1,0,19,1,3,2,KS,0.248
5,12,1,1,19,1,7,3,KS,0.248
2,13,1,0,14,1,5,2,KS,0.248
5,3,4,0,8,1,4,2,KS,0.248
2,13,1,0,11,1,2,2,KS,0.248
5,11,1,1,13,1,7,2,KS,0.248
5,9,1,1,9,1,6,2,KS,0.248
4,12,1,1,12,1,3,2,KS,0.248
3,10,1,1,15,1,2,1,KS,0.248
6,9,1,0,11,5,4,3,NE,0.204
4,10,1,1,7,2,3,3,NE,0.204
4,10,1,0,16,1,2,2,NE,0.204
4,9,1,1,3,1,5,2,NE,0.204
5,9,1,0,16,1,3,3,NE,0.204
2,9,1,1,6,7,3,1,NE,0.204
5,11,1,1,11,2,7,3,NE,0.204
5,9,1,1,13,1,3,2,NE,0.204
2,11,1,1,15,1,5,2,NE,0.204
5,9,1,1,17,2,2,2,NE,0.204
3,12,1,1,16,7,6,2,NE,0.204
5,9,2,0,10,6,7,2,KY,0.181
4,7,1,0,10,4,7,2,KY,0.181
5,13,1,0,13,1,6,2,KY,0.181
6,9,1,0,12,5,1,2,KY,0.181
1,10,1,1,10,1,2,2,KY,0.181
3,12,1,1,8,2,6,2,KY,0.181
4,9,1,0,13,1,6,2,KY,0.181
2,3,3,0,11,2,3,1,KY,0.181
2,12,1,0,14,7,5,2,KY,0.181
1,8,1,0,8,7,4,2,KY,0.181
7,9,1,1,8,5,1,2,KY,0.181
5,13,1,0,16,5,1,2,KY,0.181
6,9,1,1,19,6,7,2,KY,0.181
2,6,1,1,1,7,6,2,KY,0.181
2,6,1,1,9,1,6,2,KY,0.181
6,11,1,1,19,5,7,2,KY,0.181
5,9,1,0,7,5,6,2,KY,0.181
3,9,1,0,12,1,6,3,KY,0.181
3,13,1,1,16,1,7,3,KY,0.181
1,9,5,0,6,2,5,2,KY,0.181
5,9,1,0,14,2,2,1,KY,0.181
3,11,1,1,6,4,2,2,KY,0.181
5,14,2,0,16,1,6,2,KY,0.181
5,9,1,0,11,6,7,3,KY,0.181
3,9,1,1,13,2,5,2,KY,0.181
5,13,1,1,18,5,6,2,KY,0.181
6,9,1,1,10,5,3,1,KY,0.181
3,11,1,1,12,2,1,2,KY,0.181
5,9,1,1,16,1,1,2,KY,0.181
2,13,1,1,12,4,5,3,KY,0.181
5,13,1,1,12,5,1,2,KY,0.181
4,9,1,1,7,2,3,2,KY,0.181
2,12,1,1,14,1,6,3,KY,0.181
3,9,1,1,8,1,4,2,OK,0.134
5,9,1,0,10,1,3,2,OK,0.134
2,9,1,0,3,6,6,2,OK,0.134
2,10,2,0,11,1,5,2,OK,0.134
2,13,1,0,16,1,1,2,OK,0.134
4,12,1,0,17,1,3,1,OK,0.134
7,9,1,1,16,5,2,2,OK,0.134
2,3,4,1,5,7,5,3,OK,0.134
5,12,1,0,15,2,5,2,OK,0.134
6,10,1,0,9,5,2,2,OK,0.134
6,13,1,1,12,5,7,2,OK,0.134
6,9,1,1,13,5,2,1,OK,0.134
1,9,5,0,2,1,1,2,OK,0.134
4,9,2,0,14,1,1,2,OK,0.134
3,10,1,1,15,1,1,2,OK,0.134
4,13,1,1,15,1,1,2,OK,0.134
5,10,1,0,13,1,3,2,ND,0.17
7,9,1,1,12,5,2,2,ND,0.17
1,11,1,0,19,2,2,1,ND,0.17
4,12,1,0,8,1,1,1,ND,0.17
6,9,1,0,9,1,1,2,ND,0.17
3,13,2,1,16,1,6,2,ND,0.17
2,9,1,1,15,7,1,1,ND,0.17
5,9,1,1,14,1,2,2,WY,0.156
4,11,1,1,19,2,3,2,WY,0.156
5,13,1,1,10,6,5,2,WY,0.156
5,10,1,0,8,5,1,1,MT,0.267
1,9,1,1,8,7,1,1,MT,0.267
5,9,1,0,13,5,3,1,MT,0.267
7,9,1,1,9,5,6,2,MT,0.267
4,10,1,0,16,1,1,2,ME,0.296
6,10,1,0,4,5,3,2,ME,0.296
5,10,1,0,12,1,3,2,ME,0.296
5,9,1,1,9,5,2,3,ME,0.296
3,12,1,1,16,1,3,2,ME,0.296
4,9,1,1,4,1,7,3,ME,0.296
6,10,1,0,15,5,7,1,ME,0.296
5,9,1,1,8,1,7,3,ME,0.296
1,9,1,1,19,1,3,2,ME,0.296
4,9,1,0,8,6,1,1,ME,0.296
4,9,1,1,1,1,6,2,DE,0.258
4,9,2,0,2,4,5,2,DE,0.258
5,9,1,0,14,1,3,2,DE,0.258
2,9,4,0,12,4,7,1,DE,0.258
5,9,1,1,13,5,3,2,SD,0.229
5,11,1,1,7,5,1,2,SD,0.229
4,9,1,0,16,2,6,1,SD,0.229
5,10,1,0,9,2,7,3,SD,0.229
4,12,1,0,15,1,1,2,SD,0.229
4,11,1,0,19,1,2,2,AK,0.267
4,12,1,1,19,1,2,2,AK,0.267
1,10,1,0,18,4,5,2,RI,0.265
4,9,1,0,15,2,3,2,RI,0.265
